id,name,date_of_birth,position,current_club,f_matches,f_substitutions,f_goals,nf_matches,nf_substitutions,nf_goals,national_team,year
0,Alisson,1992-10-02,Goalkeeper,AS Roma,7,0,0,0,0,0,Brazil,2017
1,Weverton,1987-12-13,Goalkeeper,Atlético Paranaense (PR),2,0,0,0,0,0,Brazil,2017
2,"Alves, Diego",1985-06-24,Goalkeeper,CR Flamengo (RJ),1,0,0,0,0,0,Brazil,2017
3,Ederson,1993-08-17,Goalkeeper,Manchester City,1,0,0,0,0,0,Brazil,2017
4,"Ramos, Cássio",1987-06-06,Goalkeeper,SC Corinthians (SP),0,1,0,0,0,0,Brazil,2017
5,Marquinhos,1994-05-14,Centre Back,Paris Saint-Germain,6,1,0,0,0,0,Brazil,2017
6,"Alves, Dani",1983-05-06,Right Back,Paris Saint-Germain,6,0,0,0,0,0,Brazil,2017
7,"Miranda, João",1984-09-07,Centre Back,Inter Milano,6,0,0,0,0,0,Brazil,2017
8,"Silva, Thiago",1984-09-22,Centre Back,Paris Saint-Germain,5,2,1,0,0,0,Brazil,2017
9,Marcelo,1988-05-12,Left Back,Real Madrid,5,0,2,0,0,0,Brazil,2017
10,Alex Sandro,1991-01-26,Left Back,Juventus Torino,3,1,0,0,0,0,Brazil,2017
11,Fágner,1989-06-11,Right Back,SC Corinthians (SP),3,0,0,0,0,0,Brazil,2017
12,Rodrigo Caio,1993-08-17,Centre Back,São Paulo FC (SP),2,1,0,0,0,0,Brazil,2017
13,Filipe Luís,1985-08-09,Left Back,Atlético Madrid,2,0,0,0,0,0,Brazil,2017
14,Jemerson,1992-08-24,Centre Back,AS Monaco,1,1,0,0,0,0,Brazil,2017
15,Rafinha,1985-09-07,Right Back,Bayern München,1,1,0,0,0,0,Brazil,2017
16,Danilo,1991-07-15,Right Back,Manchester City,1,0,0,0,0,0,Brazil,2017
17,David Luiz,1987-04-22,Centre Back,Chelsea FC,1,0,0,0,0,0,Brazil,2017
18,"Geromel, Pedro",1985-09-21,Centre Back,Grêmio FBPA (RS),1,0,0,0,0,0,Brazil,2017
19,Gil,1987-06-12,Centre Back,Shandong Luneng Taishan,1,0,0,0,0,0,Brazil,2017
20,"Santos, Fábio",1985-09-16,Left Back,Atlético Mineiro (MG),1,0,0,0,0,0,Brazil,2017
21,Jorge,1996-03-28,Left Back,AS Monaco,0,1,0,0,0,0,Brazil,2017
22,Paulinho,1988-07-25,Centre Midfielder,FC Barcelona,9,0,5,0,0,0,Brazil,2017
23,"Augusto, Renato",1988-02-08,Attacking Midfielder,Beijing Guoan,8,2,0,0,0,0,Brazil,2017
24,"Coutinho, Philippe",1992-06-12,Attacking Midfielder,FC Barcelona,7,2,2,0,0,0,Brazil,2017
25,Casemiro,1992-02-23,Defensive Midfielder,Real Madrid,7,0,0,0,0,0,Brazil,2017
26,Willian,1988-08-09,Right Midfielder,Chelsea FC,4,6,1,0,0,0,Brazil,2017
27,Fernandinho,1985-05-04,Centre Midfielder,Manchester City,3,5,0,0,0,0,Brazil,2017
28,"Souza, Diego",1985-06-17,Attacking Midfielder,Sport Recife (PE),2,3,2,0,0,0,Brazil,2017
29,Giuliano,1990-05-31,Attacking Midfielder,Fenerbahçe SK,2,1,0,0,0,0,Brazil,2017
30,Dudu,1992-01-07,Attacking Midfielder,SE Palmeiras (SP),1,0,1,0,0,0,Brazil,2017
31,"Lima, Lucas",1990-07-09,Attacking Midfielder,Santos FC (SP),1,0,0,0,0,0,Brazil,2017
32,"Arão, Willian",1992-12-03,Defensive Midfielder,CR Flamengo (RJ),1,0,0,0,0,0,Brazil,2017
33,Walace,1995-04-04,Defensive Midfielder,Hamburger SV,1,0,0,0,0,0,Brazil,2017
34,Rodriguinho,1988-03-27,Centre Midfielder,SC Corinthians (SP),0,2,0,0,0,0,Brazil,2017
35,Camilo,1986-03-09,Attacking Midfielder,SC Internacional (RS),0,1,0,0,0,0,Brazil,2017
36,Diego,1985-02-28,Attacking Midfielder,CR Flamengo (RJ),0,1,0,0,0,0,Brazil,2017
37,"Scarpa, Gustavo",1994-01-05,Left Midfielder,Fluminense FC (RJ),0,1,0,0,0,0,Brazil,2017
38,Neymar,1992-02-05,Centre Forward,Paris Saint-Germain,8,0,3,0,0,0,Brazil,2017
39,"Jesus, Gabriel",1997-04-03,Centre Forward,Manchester City,6,1,3,0,0,0,Brazil,2017
40,Roberto Firmino,1991-10-02,Secondary striker,Liverpool FC,3,2,0,0,0,0,Brazil,2017
41,"Costa, Douglas",1990-09-14,Right Winger,Juventus Torino,1,2,0,0,0,0,Brazil,2017
42,Robinho,1984-01-25,Secondary striker,Sivasspor,1,0,0,0,0,0,Brazil,2017
43,Taison,1988-01-13,Left Winger,Shakhtar Donetsk,0,3,1,0,0,0,Brazil,2017
44,Luan,1993-03-27,Centre Forward,Grêmio FBPA (RS),0,2,0,0,0,0,Brazil,2017
45,Alisson,1992-10-02,Goalkeeper,Liverpool FC,12,0,0,0,0,0,Brazil,2018
46,Ederson,1993-08-17,Goalkeeper,Manchester City,2,0,0,0,0,0,Brazil,2018
47,Neto,1989-07-19,Goalkeeper,Valencia CF,1,0,0,0,0,0,Brazil,2018
48,"Miranda, João",1984-09-07,Centre Back,Inter Milano,11,0,2,0,0,0,Brazil,2018
49,"Silva, Thiago",1984-09-22,Centre Back,Paris Saint-Germain,10,0,1,0,0,0,Brazil,2018
50,Marcelo,1988-05-12,Left Back,Real Madrid,8,0,0,0,0,0,Brazil,2018
51,Marquinhos,1994-05-14,Centre Back,Paris Saint-Germain,6,3,1,0,0,0,Brazil,2018
52,Danilo,1991-07-15,Right Back,Manchester City,6,0,0,0,0,0,Brazil,2018
53,Filipe Luís,1985-08-09,Left Back,Atlético Madrid,4,3,0,0,0,0,Brazil,2018
54,Fágner,1989-06-11,Right Back,SC Corinthians (SP),4,1,0,0,0,0,Brazil,2018
55,Alex Sandro,1991-01-26,Left Back,Juventus Torino,3,0,1,0,0,0,Brazil,2018
56,Fabinho,1993-10-23,Right Back,Liverpool FC,2,1,0,0,0,0,Brazil,2018
57,"Alves, Dani",1983-05-06,Right Back,Paris Saint-Germain,2,0,0,0,0,0,Brazil,2018
58,Pablo,1991-06-21,Centre Back,Girondins Bordeaux,2,0,0,0,0,0,Brazil,2018
59,Dedé,1988-07-01,Centre Back,Cruzeiro EC (MG),1,1,0,0,0,0,Brazil,2018
60,"Militão, Éder",1998-01-18,Centre Back,FC Porto,1,0,0,0,0,0,Brazil,2018
61,Felipe,1989-05-16,Centre Back,FC Porto,0,1,0,0,0,0,Brazil,2018
62,"Geromel, Pedro",1985-09-21,Centre Back,Grêmio FBPA (RS),0,1,0,0,0,0,Brazil,2018
63,"Coutinho, Philippe",1992-06-12,Attacking Midfielder,FC Barcelona,13,0,5,0,0,0,Brazil,2018
64,Casemiro,1992-02-23,Defensive Midfielder,Real Madrid,12,0,0,0,0,0,Brazil,2018
65,Willian,1988-08-09,Right Midfielder,Chelsea FC,10,2,0,0,0,0,Brazil,2018
66,Paulinho,1988-07-25,Centre Midfielder,Guangzhou Evergrande,10,0,2,0,0,0,Brazil,2018
67,Arthur,1996-08-12,Centre Midfielder,FC Barcelona,4,2,0,0,0,0,Brazil,2018
68,Fernandinho,1985-05-04,Centre Midfielder,Manchester City,3,5,0,0,0,0,Brazil,2018
69,"Augusto, Renato",1988-02-08,Attacking Midfielder,Beijing Guoan,2,4,1,0,0,0,Brazil,2018
70,Fred,1993-03-05,Attacking Midfielder,Manchester United,2,3,0,0,0,0,Brazil,2018
71,Walace,1995-04-04,Defensive Midfielder,Hannover 96,1,2,0,0,0,0,Brazil,2018
72,Allan,1991-01-08,Centre Midfielder,SSC Napoli,1,1,0,0,0,0,Brazil,2018
73,Lucas Paquetá,1997-08-27,Attacking Midfielder,AC Milan,0,2,0,0,0,0,Brazil,2018
74,"Pereira, Andreas",1996-01-01,Attacking Midfielder,Manchester United,0,1,0,0,0,0,Brazil,2018
75,Neymar,1992-02-05,Centre Forward,Paris Saint-Germain,12,1,7,0,0,0,Brazil,2018
76,"Jesus, Gabriel",1997-04-03,Centre Forward,Manchester City,11,1,3,0,0,0,Brazil,2018
77,Roberto Firmino,1991-10-02,Secondary striker,Liverpool FC,4,7,3,0,0,0,Brazil,2018
78,"Costa, Douglas",1990-09-14,Right Winger,Juventus Torino,4,5,0,0,0,0,Brazil,2018
79,Richarlison,1997-05-10,Left Winger,Everton FC,1,5,3,0,0,0,Brazil,2018
80,Taison,1988-01-13,Left Winger,Shakhtar Donetsk,0,3,0,0,0,0,Brazil,2018
81,Éverton,1996-03-22,Left Winger,Grêmio FBPA (RS),0,2,0,0,0,0,Brazil,2018
82,"Moura, Lucas",1992-08-13,Right Winger,Tottenham Hotspur,0,1,0,0,0,0,Brazil,2018
83,Alisson,1992-10-02,Goalkeeper,Liverpool FC,8,0,0,0,0,0,Brazil,2019
84,Ederson,1993-08-17,Goalkeeper,Manchester City,2,0,0,0,0,0,Brazil,2019
85,Marquinhos,1994-05-14,Centre Back,Paris Saint-Germain,9,0,0,0,0,0,Brazil,2019
86,"Alves, Dani",1983-05-06,Right Back,São Paulo FC (SP),8,0,1,0,0,0,Brazil,2019
87,"Silva, Thiago",1984-09-22,Centre Back,Paris Saint-Germain,8,0,1,0,0,0,Brazil,2019
88,Filipe Luís,1985-08-09,Left Back,CR Flamengo (RJ),6,0,0,0,0,0,Brazil,2019
89,Alex Sandro,1991-01-26,Left Back,Juventus Torino,3,3,0,0,0,0,Brazil,2019
90,"Miranda, João",1984-09-07,Centre Back,Jiangsu Suning,2,2,0,0,0,0,Brazil,2019
91,"Militão, Éder",1998-01-18,Centre Back,Real Madrid,1,3,0,0,0,0,Brazil,2019
92,Danilo,1991-07-15,Right Back,Juventus Torino,1,0,0,0,0,0,Brazil,2019
93,Fágner,1989-06-11,Right Back,SC Corinthians (SP),1,0,0,0,0,0,Brazil,2019
94,"Telles, Alex",1992-12-15,Left Back,FC Porto,1,0,0,0,0,0,Brazil,2019
95,Fabinho,1993-10-23,Right Back,Liverpool FC,0,1,0,0,0,0,Brazil,2019
96,"Coutinho, Philippe",1992-06-12,Attacking Midfielder,Bayern München,10,0,2,0,0,0,Brazil,2019
97,Casemiro,1992-02-23,Defensive Midfielder,Real Madrid,9,0,1,0,0,0,Brazil,2019
