id,name,date_of_birth,position,current_club,f_matches,f_substitutions,f_goals,nf_matches,nf_substitutions,nf_goals,national_team,year
154,"Torres, Erick",1993-01-19,Centre Forward,Pumas UNA México,2,1,0,0,0,0,Mexico,2017
155,"Pulido, Alan",1991-03-08,Centre Forward,Chivas Guadalajara,2,0,1,0,0,0,Mexico,2017
156,"Barragán, Martín",1991-07-14,Centre Forward,Necaxa Aguascalientes,1,3,0,0,0,0,Mexico,2017
157,"Ochoa, Guillermo",1985-07-13,Goalkeeper,Standard Liège,9,0,0,0,0,0,Mexico,2018
158,"Corona, Jesús",1981-01-26,Goalkeeper,Cruz Azul México,3,0,0,0,0,0,Mexico,2018
159,"González, Hugo",1990-08-01,Goalkeeper,Necaxa Aguascalientes,2,0,0,0,0,0,Mexico,2018
160,"Cota, Rodolfo",1987-07-03,Goalkeeper,León FC,1,0,0,0,0,0,Mexico,2018
161,"Lajud, Gibrán",1993-12-25,Goalkeeper,Club Tijuana,1,0,0,0,0,0,Mexico,2018
162,"Gudiño, Raúl",1996-04-22,Goalkeeper,Chivas Guadalajara,0,2,0,0,0,0,Mexico,2018
163,"Ayala, Hugo",1987-03-31,Centre Back,Tigres UA Nuevo León,9,0,1,0,0,0,Mexico,2018
164,"Álvarez, Edson",1997-10-24,Centre Back,América México,8,3,0,0,0,0,Mexico,2018
165,"Salcedo, Carlos",1993-09-29,Centre Back,Tigres UA Nuevo León,7,2,0,0,0,0,Mexico,2018
166,"Layún, Miguel",1988-06-25,Right Back,CF Monterrey,6,3,2,0,0,0,Mexico,2018
167,"Moreno, Héctor",1988-01-17,Centre Back,Real Sociedad San Sebastian,6,0,0,0,0,0,Mexico,2018
168,"Araujo, Néstor",1991-08-29,Centre Back,Celta Vigo,4,1,0,0,0,0,Mexico,2018
169,"Rodríguez, Luis",1991-01-21,Right Back,Tigres UA Nuevo León,4,1,0,0,0,0,Mexico,2018
170,"Arteaga, Gerardo",1998-09-07,Left Back,Santos Laguna,3,1,0,0,0,0,Mexico,2018
171,"Reyes, Diego",1992-09-19,Centre Back,CD Leganés,3,1,0,0,0,0,Mexico,2018
172,"Alanís, Oswaldo",1989-03-18,Centre Back,Real Oviedo,3,0,0,0,0,0,Mexico,2018
173,"Angulo, Jesús",1998-01-30,Left Back,Santos Laguna,2,1,0,0,0,0,Mexico,2018
174,"Márquez, Rafael",1979-02-13,Centre Back,Atlas Guadalajara,1,4,0,0,0,0,Mexico,2018
175,"Domínguez, Julio César",1987-11-08,Right Back,Cruz Azul México,1,1,0,0,0,0,Mexico,2018
176,"Abella, José",1994-02-10,Right Back,Santos Laguna,1,0,0,0,0,0,Mexico,2018
177,"van Rankin, Josecarlos",1993-05-14,Right Back,Chivas Guadalajara,1,0,0,0,0,0,Mexico,2018
178,"Mier, Hiram",1989-08-25,Centre Back,Chivas Guadalajara,0,1,0,0,0,0,Mexico,2018
179,"Gallardo, Jesús",1994-08-15,Left Midfielder,CF Monterrey,12,2,0,0,0,0,Mexico,2018
180,"Guardado, Andrés",1986-09-28,Centre Midfielder,Real Betis Sevilla,7,0,0,0,0,0,Mexico,2018
181,"Herrera, Héctor",1990-04-19,Centre Midfielder,FC Porto,7,0,0,0,0,0,Mexico,2018
182,"Gutiérrez, Erick",1995-06-15,Centre Midfielder,PSV Eindhoven,5,0,0,0,0,0,Mexico,2018
183,"Fabián, Marco",1989-07-21,Attacking Midfielder,Eintracht Frankfurt,3,4,1,0,0,0,Mexico,2018
184,"Guzmán, Víctor",1995-02-03,Attacking Midfielder,Pachuca CF,3,2,1,0,0,0,Mexico,2018
185,"dos Santos, Jonathan",1990-04-26,Centre Midfielder,Los Angeles Galaxy,2,4,0,0,0,0,Mexico,2018
186,"Alvarado, Roberto",1998-09-07,Attacking Midfielder,Cruz Azul México,2,3,0,0,0,0,Mexico,2018
187,"Molina, Jesús",1988-03-29,Defensive Midfielder,Chivas Guadalajara,2,2,0,0,0,0,Mexico,2018
188,"Hernández, Elías",1988-04-29,Right Midfielder,Cruz Azul México,2,1,0,0,0,0,Mexico,2018
189,"Dueñas, Jesús",1989-03-16,Defensive Midfielder,Tigres UA Nuevo León,2,0,0,0,0,0,Mexico,2018
190,"Güemez, Javier",1991-10-17,Centre Midfielder,Querétaro FC,2,0,0,0,0,0,Mexico,2018
191,"Pizarro, Rodolfo",1994-02-15,Attacking Midfielder,CF Monterrey,1,2,0,0,0,0,Mexico,2018
